#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Subdivision/Condo Name,Heated Area,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP
1,W7870804,ACT,3844 KIM DR,WESLEY CHAPEL,33543,TERRACE PARK 01,,576,"$105,500 ",2,1,1,1973,None,Mobile Home - Pre 1976,Fee Simple,$321.00 ,35,35,,,,$183.16 ,,
2,TB8329083,ACT,33843 TERRACE BLVD,WESLEY CHAPEL,33543,TERRACE PARK 02,,864,"$134,900 ",2,1,0,1976,Community,Mobile Home - Pre 1976,Fee Simple,$215.58 ,34,34,,,,$156.13 ,,
3,TB8330243,ACT,3836 CHRIS DR,WESLEY CHAPEL,33543,TERRACE PARK 02,,600,"$139,900 ",1,1,0,2005,Community,Manufactured Home - Post 1977,Fee Simple,"$1,732.00 ",13,13,,,,$233.17 ,,
4,O6263571,ACT,3145 HIDDEN LAKE DR,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,864,"$146,000 ",2,2,0,1986,None,Mobile Home - Pre 1976,Condominium,$466.15 ,160,41,,,,$168.98 ,,
5,TB8322494,ACT,33821 TERRACE BLVD,WESLEY CHAPEL,33543,TERRACE PARK,,"1,620","$169,900 ",2,2,0,1986,Community,Manufactured Home - Post 1977,Fee Simple,$271.00 ,63,63,,,,$104.88 ,,
6,TB8333535,ACT,3010 WHISPERING LN,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,104","$184,000 ",3,2,0,1999,None,Manufactured Home - Post 1977,Condominium,$553.21 ,18,18,,,,$166.67 ,,
7,TB8337515,ACT,3022 SHORT LEAF ST,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,512","$185,000 ",3,2,0,1986,Community,Manufactured Home - Post 1977,Condominium,"$1,418.89 ",10,10,,,,$122.35 ,,
8,TB8333913,ACT,34325 COUNTRY BREEZE AVE,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,248","$187,500 ",3,2,0,1984,Community,Manufactured Home - Post 1977,Fee Simple,"$1,235.19 ",207,17,,,,$150.24 ,,
9,TB8330308,ACT,26804 CHIANINA DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,056","$199,900 ",2,2,0,1995,None,Manufactured Home - Post 1977,Fee Simple,$462.93 ,10,10,,,,$189.30 ,,
10,TB8323758,ACT,34124 ESTATES LN,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,485","$199,900 ",2,2,0,1991,Community,Manufactured Home - Post 1977,Condominium,$520.00 ,60,60,,,,$134.61 ,,
11,TB8337446,ACT,1241 REDONDO WAY,WESLEY CHAPEL,33543,COVINA KEY,,"1,184","$228,000 ",2,1,1,1999,"Private, Community",Townhouse,Fee Simple,"$1,626.00 ",7,7,,,,$192.57 ,,
